height,entropybit,IsContract,tx,netstakeweight,modifier,flags,IsSuperBlock,querytime,fees_collected,mint,MoneySupply,claim->mining_id,difficulty,size,location,time,username,,locktime,netstakeweight,txid,contracts,vout->0->value,vout->0->scriptPubKey->addresses,vout->0->scriptPubKey->type,time
13,0,False,['892bce1f7fa1d284bd565dc756335b805523dfd02234faa3386a21c033507154'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570240.0,ca895b47aacffbdbf906201821af2f9f,0.0007105180303640073,391,"Bruges, Belgium",1413153049,unknown user,,0,180700778.1848732,892bce1f7fa1d284bd565dc756335b805523dfd02234faa3386a21c033507154,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153049

14,1,False,['5a7b30b3d417668f21e3c808c28e6ae0e1e276ef7e45dac42ed60b145292efc0'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570270.0,ca895b47aacffbdbf906201821af2f9f,0.0007502376582556708,391,"Bruges, Belgium",1413153058,unknown user,,0,180700778.1848732,5a7b30b3d417668f21e3c808c28e6ae0e1e276ef7e45dac42ed60b145292efc0,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153053

15,0,False,['19a6d80554d1b3f4705591dd6eb410df414d606bd5f89785d31130d4bdfdd8b8'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570300.0,ca895b47aacffbdbf906201821af2f9f,0.0008335973980618565,391,"Bruges, Belgium",1413153077,unknown user,,0,180700778.1848732,19a6d80554d1b3f4705591dd6eb410df414d606bd5f89785d31130d4bdfdd8b8,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153077

16,1,False,['ace0a9511440353a6f22353b324147210217fd59bff572dd6713e84bbce997d7'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570330.0,ca895b47aacffbdbf906201821af2f9f,0.0009064728593989568,391,"Bruges, Belgium",1413153102,unknown user,,0,180700778.1848732,ace0a9511440353a6f22353b324147210217fd59bff572dd6713e84bbce997d7,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153102

17,0,False,['74490cae1b47f45471f8f9f4a65ea10aad19d7f0415d338d9c62f397d5f0bdda'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570360.0,ca895b47aacffbdbf906201821af2f9f,0.0009732692603801131,392,"Bruges, Belgium",1413153145,unknown user,,0,180700778.1848732,74490cae1b47f45471f8f9f4a65ea10aad19d7f0415d338d9c62f397d5f0bdda,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153145

18,0,False,['44b3dba46406d2447cd20c80c713b5efea24520266adc3f88f783eb66108297d'],180700778.1848732,0000000000000793,proof-of-work ,False,2,0,30,340570390.0,ca895b47aacffbdbf906201821af2f9f,0.001006831985298456,392,"Bruges, Belgium",1413153157,unknown user,,0,180700778.1848732,44b3dba46406d2447cd20c80c713b5efea24520266adc3f88f783eb66108297d,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153157

19,0,False,['d1a809fb8459d9968ccbd41880536ace893a22dd0b06c0c6979894a998e45066'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570420.0,ca895b47aacffbdbf906201821af2f9f,0.001111441482364281,392,"Bruges, Belgium",1413153180,unknown user,,0,180700778.1848732,d1a809fb8459d9968ccbd41880536ace893a22dd0b06c0c6979894a998e45066,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153180

