Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,0.832005,1.313487,0.694187,0.951054,0.951054,87364276
2020-04-11,0.951054,1.049073,0.765020,0.776819,0.776819,43862444
2020-04-12,0.785448,0.956670,0.762426,0.882507,0.882507,38736897
2020-04-13,0.890760,0.891603,0.773976,0.777832,0.777832,18211285
2020-04-14,0.777832,0.796472,0.628169,0.661925,0.661925,16747614
2020-04-15,0.669289,0.704964,0.621531,0.646651,0.646651,13075275
2020-04-16,0.630879,0.774192,0.625107,0.690816,0.690816,21346031
2020-04-17,0.689312,0.719614,0.660728,0.660728,0.660728,9870810
2020-04-18,0.660728,0.717618,0.659427,0.681096,0.681096,9782112
2020-04-19,0.681516,0.684641,0.598487,0.606969,0.606969,9289670
2020-04-20,0.612948,0.639254,0.520578,0.538812,0.538812,8342616
2020-04-21,0.541387,0.604586,0.508549,0.587659,0.587659,9711507
2020-04-22,0.581166,0.706964,0.569621,0.691601,0.691601,18828400
2020-04-23,0.685347,0.698077,0.600322,0.627457,0.627457,13485271
2020-04-24,0.624021,0.671020,0.613941,0.634242,0.634242,9064190
2020-04-25,0.630528,0.670948,0.621547,0.643329,0.643329,7311905
2020-04-26,0.653215,0.691499,0.631171,0.635506,0.635506,8320760
2020-04-27,0.635714,0.660283,0.561028,0.572372,0.572372,7406934
2020-04-28,0.578253,0.692148,0.568484,0.661293,0.661293,7470201
2020-04-29,0.662286,0.777771,0.655274,0.745840,0.745840,8801144
2020-04-30,0.747195,0.800816,0.687881,0.691045,0.691045,5016892
2020-05-01,0.691045,0.737071,0.685903,0.728794,0.728794,4164272
2020-05-02,0.727268,0.748981,0.707904,0.715876,0.715876,3441356
2020-05-03,0.714796,0.729801,0.656616,0.679535,0.679535,3328344
2020-05-04,0.679625,0.705812,0.618434,0.667491,0.667491,3443698
2020-05-05,0.673440,0.686214,0.626499,0.641837,0.641837,2847469
2020-05-06,0.642454,0.673891,0.622584,0.622584,0.622584,2677563
2020-05-07,0.622584,0.632268,0.573376,0.612978,0.612978,3355830
2020-05-08,0.612978,0.636618,0.589852,0.604922,0.604922,2488195
2020-05-09,0.604042,0.625429,0.588448,0.604527,0.604527,2128503
2020-05-10,0.604461,0.612303,0.513081,0.537034,0.537034,2327581
2020-05-11,0.536255,0.571860,0.505194,0.515273,0.515273,2098481
2020-05-12,0.513391,0.559759,0.505251,0.538576,0.538576,2198625
2020-05-13,0.538372,0.564874,0.518038,0.550532,0.550532,2326446
2020-05-14,0.550532,0.580946,0.550110,0.569118,0.569118,2047897
2020-05-15,0.569193,0.574620,0.547093,0.559752,0.559752,1850070
2020-05-16,0.558981,0.606534,0.554361,0.599120,0.599120,2300409
2020-05-17,0.595228,0.640196,0.589175,0.612989,0.612989,2936428
2020-05-18,0.612682,0.674393,0.609649,0.652670,0.652670,3314359
2020-05-19,0.650974,0.654480,0.611248,0.624454,0.624454,2380263
2020-05-20,0.622475,0.626656,0.575283,0.579156,0.579156,2302926
2020-05-21,0.579692,0.613789,0.543346,0.608915,0.608915,2863017
2020-05-22,0.605239,0.676432,0.582830,0.638875,0.638875,3411419
2020-05-23,0.637415,0.638849,0.588247,0.613031,0.613031,2638524
2020-05-24,0.613289,0.613289,0.548432,0.549053,0.549053,2786816
2020-05-25,0.548570,0.650138,0.538064,0.600857,0.600857,4509580
2020-05-26,0.599104,0.612353,0.566463,0.573307,0.573307,2689697
2020-05-27,0.573307,0.611087,0.571443,0.590985,0.590985,2536916
2020-05-28,0.590884,0.592398,0.566948,0.575155,0.575155,2662788
2020-05-29,0.574699,0.593405,0.566858,0.579415,0.579415,2066857
2020-05-30,0.581355,0.602489,0.567050,0.587933,0.587933,2449095
2020-05-31,0.587903,0.593997,0.569245,0.570022,0.570022,1892967
2020-06-01,0.573472,0.587839,0.567348,0.577495,0.577495,2159877
2020-06-02,0.577142,0.589725,0.552294,0.564669,0.564669,1295757
2020-06-03,0.564669,0.591025,0.564461,0.586621,0.586621,877446
2020-06-04,0.586867,0.591640,0.564518,0.587299,0.587299,901641
2020-06-05,0.587299,0.698279,0.577925,0.661155,0.661155,4322092
2020-06-06,0.661071,0.661619,0.611781,0.622443,0.622443,1604055
2020-06-07,0.622443,0.624444,0.593398,0.616578,0.616578,716785
2020-06-08,0.615078,0.679001,0.613310,0.668313,0.668313,1440234
2020-06-09,0.667784,0.668088,0.627242,0.658002,0.658002,988327
2020-06-10,0.658038,0.670043,0.633404,0.644867,0.644867,1096203
2020-06-11,0.644888,0.650535,0.570082,0.573742,0.573742,1122221
2020-06-12,0.574059,0.604653,0.569920,0.593869,0.593869,940323
2020-06-13,0.593948,0.611439,0.585485,0.608943,0.608943,764757
2020-06-14,0.610927,0.618258,0.580899,0.587077,0.587077,873416
2020-06-15,0.588373,0.591897,0.547287,0.570639,0.570639,942666
2020-06-16,0.570579,0.589828,0.568689,0.585576,0.585576,652020
2020-06-17,0.585497,0.590129,0.565117,0.581562,0.581562,673274
2020-06-18,0.581582,0.650309,0.579285,0.620956,0.620956,1349341
2020-06-19,0.622407,0.836398,0.620384,0.684332,0.684332,6577471
2020-06-20,0.682523,0.688583,0.625626,0.643591,0.643591,1714405
2020-06-21,0.646135,0.748542,0.636880,0.673149,0.673149,2238347
2020-06-22,0.672577,0.743113,0.645877,0.726848,0.726848,1620388
2020-06-23,0.726773,0.760633,0.700712,0.708297,0.708297,1327340
2020-06-24,0.708530,0.800692,0.693501,0.736994,0.736994,2769054
2020-06-25,0.737100,0.756705,0.699240,0.713194,0.713194,1751581
2020-06-26,0.712531,0.751992,0.681532,0.741144,0.741144,1664662
2020-06-27,0.739597,0.752211,0.675838,0.713548,0.713548,1681428
2020-06-28,0.713548,0.843977,0.687095,0.798495,0.798495,3412582
2020-06-29,0.798495,0.885339,0.770009,0.852454,0.852454,2147791
2020-06-30,0.853022,1.029176,0.850104,0.860094,0.860094,3887548
2020-07-01,0.863364,0.901715,0.820927,0.832642,0.832642,1772560
